name,price,status,shipping,free_returns,itemssold
"Good Used SYLVANIA 19"" CRT TV Gaming Gamer Television Analog SRB1965 421",3999,Pre-Owned,,False,
"Toshiba 13A25 13"" CRT TV Color Television No Remote TV Nice Retro Gaming TV",6999,Pre-Owned,8800,True,
"💥💦 HANDYMAN TV PALLET 💥💦 14 ASST. VIZIO, JVC, HISENSE 43""- 65"" LED TV'S",2995,Parts Only,,False,
"LG UP8000 55"" HDR 4K Ultra HD Smart LED TV - 2021 Model *55UP8000",56460,New (Other),0,False,0
Sony LIV Ultra Slim LCD-TV CD Kitchen Clock Radio ICF-CD555LIV2 Color television,29995,New (Other),4750,False,
"VINTAGE 1981 MONTGOMERY WARD CRT TELEVISION TV RETRO GAMING 12"" SCREEN, WORKS. ",3899,Pre-Owned,8347,False,
"White Sharp Retro 13N-M150B 13"" CRT TV Gaming Television with Remote",8999,Pre-Owned,4999,False,
"Sharp LC-13SH4U 13"" Portable LCD Flatscreen TV Component/AV/S-Video/Coax Retro ",3999,Pre-Owned,8930,False,
New ListingSupersonic SC-2412 LCD TV/DVD Combo,1000,Pre-Owned,0,False,
Sony XR85X95J 85 inch BRAVIA XR X95J Black UHD Smart LED TV 2021 Model,399800,Brand New,0,False,0
"Samsung UN65TU7000 65"" 4K Ultra HD Smart LED TV (2020 Model) - Open Box",70000,New (Other),0,True,0
"Viewsonic CDP4235-T 32"" 1366 x 768 HDMI DVI-D VGA LCD TV VS14709 LA Pickup",3799,Pre-Owned,,False,0
"Trexonic Portable Rechargeable 14 Inch LED TV with HDMI, SD/MMC, USB, VGA, AV",11900,Brand New,0,False,
"Supersonic 16"" AC/DC Rechargeable Portable LED TV - HDMI - Built-in Speakers",19999,Brand New,0,False,
Sylvania 13” CRT TV Model SRC1351 Retro Rare Black W/ Remote Works Tested Nice,6999,Pre-Owned,12140,True,
LG 32” Flat Screen TV With Remote Tested,8000,Pre-Owned,0,False,
"Durabrand - DWT1304  13"" CRT Television - Tested and Working - NO REMOTE - Local",4500,Pre-Owned,9658,False,
"SAMSUNG  75""  4K  FLAT SCREEN TV - MODEL  QN75Q9F....SEE  PHOTO #7",74800,Pre-Owned,,False,0
" 13"" MICKEY MOUSE DISNEY TV Vintage DT1350-C  CRT Television Tested",3999,Pre-Owned,5001,False,
Panasonic CT-27SL14J CRT PureFlat Flat screen Tau Series TV Television w/Remote,4999,Pre-Owned,,False,
"Pioneer Elite PRO-150FD 60"" 1080p Plasma TV with SMW1980 Speakers and Remote",22500,Pre-Owned,,False,
Orion TV1934A CRT TV RETRO GAMING VINTAGE 2003 COLOR MANCAVE TESTED 19 Inch,2000,Pre-Owned,,False,
"JENSEN 19"" LED Television - 12V",30903,Brand New,0,False,
Panasonic TC-P60VT60 60” Plasma TV *1 owner* Legendary Performance!,99500,Pre-Owned,,False,0
Samsung UN43AU8000 43 Inch 4K Crystal UHD Smart LED TV (2021) - Open Box,39900,New (Other),0,True,0
" Orion13"" CRT TV TV1318A Perfect For Retro Gaming Or Regular Use",12495,Pre-Owned,0,True,
"Sylvania 6509DD 9"" CRT Television TV/DVD Combo Retro Gaming 12v Portable",5950,Pre-Owned,4903,False,
"Samsung NT670U 50"" Class HDR 4K UHD Hospitality LED TV HG50NT670UFXZA",54999,New (Other),0,False,
"Panasonic 27"" CRT Television CT-27D10B",9995,Pre-Owned,,False,
Daewoo DTQ-13P2FC 13” CRT TV with RF modulator - Tested - Retro Gaming,6500,Pre-Owned,16090,False,
"SAMSUNG 32"" Class FHD (1080P) Smart LED TV (UN32N5300)",32090,Brand New,0,False,
"Curtis Mathes 13"" CRT TV VCR Combo Retro Gaming TESTED Works Great WITH REMOTE",12500,Pre-Owned,,False,
"Supersonic 13.3"" Portable Rechargeable LED TV with HDMI & FM Radio",12499,Brand New,0,False,0
"Sony BRAVIA KDL-40S4100 40"" Full HD 1080p LCD TV 16:9 2500:1",1999,Pre-Owned,7114,False,0
"Supersonic SC-2812 12"" Portable LED TV w/Built in Batt, USB & SD input",13500,Brand New,0,True,
"2001 RCA E13320 13"" Color Gaming Television Retro CRT TV TESTED Stickers Free;-)",7999,Pre-Owned,5656,False,
Pink Tinker Bell Disney CRT TV With Remote TESTED/WORKS! Retro Combo unit ,10000,Pre-Owned,,False,0
"NEW DISNEY CARS TV DVD PLAYER & REMOTE lightning mcqueen retro gaming 13"" CRT TV",149995,Brand New,4010,False,
"JVC AV-A14M3 14"" Retro Gaming Color CRT Television NO Remote Video Branding ",10800,Pre-Owned,6925,False,
"Sceptre 32"" Class 720P HD LED TV X322BV-SR",15386,Brand New,0,False,
"60"" SONY GRAND WEGA KDF-60XS955 HD REAR-PROJECTION LCD TV with Remote Excellent",20000,Pre-Owned,,False,
sony KD-30XS955 trinitron wega retro gaming crt tv w/ hdmi,15000,Pre-Owned,,False,
"Samsung UN55C8000XF Titanium 55"" 1080p 3D LED TV with Active Glasses and Remote",75000,Pre-Owned,,False,
"Samsung AU8000 55"" 4K Ultra HD HDR Smart LED TV - 2021 Model",59799,Brand New,0,False,
"Sony BRAVIA X95J 65"" 4K UHD HDR Smart LED TV - 2021 Model",199800,Brand New,0,False,0
Sony Trinitron KV20-FS100 Retro Gaming CRT TV - **THE GRAIL OF RETRO GAMING**,35000,Pre-Owned,,False,
"BLACK Panasonic 13"" CRT Television Color TV Retro Gaming Model CT-13R18BG",10000,Pre-Owned,,False,
